title,desc,link,country
Travel History Card,"The purpose of the Travel History Card project is to combine communication data with Bluetooth data, accurately find close contacts of patients through information technology, and further improve the accuracy of epidemic prevention and control. In WSIS A",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112192991614608,China
The UK’s Government Digital Service (GDS) support to the COVID-19 response,"GDS has been at the forefront of the UK’s response to COVID-19. Our existing services have been in high demand. They are ensuring citizens remain informed and able to access vital services. Across the digital, data, and technology function across governm",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105272913536282,United Kingdom
WoMakersCode,"WoMakersCode is the largest technology community in Brazil, with goal to strengthen female protagonism in IT, through professional and economic development. We have 14 local groups, where we organize meetups, technology career mentoring and free training",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115852458058974,Brazil
WETECH Women's Innovation Center,"Launched in April 2019, WETECH (Women in Entrepreneurship and Technology) is an innovation platform and center aimed at promoting and supporting African women in the fields of technology and entrepreneurship. WETECH provides a solution to the problem of",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110609552521444,"Douala, Yaoundé,"
Turkcell Zeka Gucu / Turkcell Whiz Kids,"With the Whiz Kids (Zeka Gücü in Turkish) project in cooperation with the Ministry of National Education, Turkcell aims to introduce Turkey's gifted students to technology to discover and develop their abilities at an early age. The facilities offered to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105299072696594,Turkey
Spectrum Auction 2019,In December 2019 Colombia held a pivotal spectrum auction with 4 main objectives: i) increase coverage in rural and remote areas; ii) improve quality of service for 4G services across the country; iii) foster investment and competition among mobile opera,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116025714760347,Colombia
The United Arab Emirates Telecommunications Regulatory Authority Initiatives in response to COVID-19,"""In the context of its role in supporting the government's precautionary efforts during COVID-19, the TRA launched several initiatives to enhance the ICT sector and ensure the safety of citizens, residents and visitors on the UAE territory. - Education a",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112263562783828,United Arab Emirates
Robotbenchmark: a tool for teaching robotics on the web,"Robotbenchmark is a free web service allowing anybody to get his hands on 3D simulated robots. A series of about 10 robotics challenges is proposed to the visitors with an increasing difficulty. In each challenge, participants have to program a robot to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16087220215657764,International
Tigo Eschools Platform,"""Tanzania has approximately more than 14 Million pupils in pre and primary school level and more than 7 Million students in secondary school enrolled in school (UNESCO 2016), who are out of school due to the pandemic. Even before the pandemic crisis, we",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106398494703225,United Republic of Tanzania
"PortNet: ""National Single Window of Foreign Trade","Initiated in 2008 by the National Ports Agency (Port Authority in Morocco), PortNet is the result of a strategic alliance between port communities and international trade. It is a tool that is specific to the Moroccan Government which aims at implementin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115675930300354,Morocco
